"Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","ID","Type","Firing Pattern","Input Resistance","Tau Membrane","Threshold Current","AP Amplitude","AP Halfwidth","Voltage Threshold","Max DepolRate","Max RepolRate","Sag 90mV","RMP","Cluster"
3.41000298297066,3.58077870361655,-0.917816365630947,-0.0901868975926249,0.442537183905857,0.0194335211950259,-0.308554485951278,0.0913260756126196,-0.349939835520699,-0.111755646639428,"P9_TeNT","Original","Tonic",0.168,8.23,140,28.4069,0.454286,-35.3522,110.28,-82.1235,8.065,-69.97,"3"
1.108048674922,0.666203621105311,1.7778125407201,0.124787619782934,1.26326220125845,-0.0134995748128669,0.172626492661479,0.128870592435758,0.0441862515563769,0.259936640259565,"P9_TeNT","Original","Tonic",0.291,16.49,100,52.7155,0.344987,-37.5422,338.662,-169.722,7.589,-63.73,"1"
-1.63503673667844,-1.64556817908527,1.35251308284785,0.54930492055951,0.964660946512072,-0.9912751385486,-0.440476955952902,-0.116074431209284,-0.0897572744648427,-0.206055692805181,"P9_TeNT","Original","Tonic",0.2975,18.77,100,66.0742,0.250288,-46.4271,515.423,-322.237,8.582,-65.88,"1"
-0.475470341273106,1.68630424746971,-0.726727912615949,-1.00803776191614,0.0332715269706311,0.13817251864851,0.182315682520297,-0.536230322902401,0.134096860524094,-0.153854148649323,"P9_TeNT","Original","Tonic",0.1375,7.09,140,49.5244,0.27232,-40.6081,352.74,-223.689,6.658,-67.21,"1"
1.95717557489096,-0.756784779333391,1.36699323094116,-0.407974714083682,-1.0605747373496,-1.06288449234351,0.508131870410429,-0.167902637303824,-0.0749908066012926,-0.0955486831473666,"P9_TeNT","Original","Tonic",0.4025,11.43,40,50.1188,0.34021,-44.6439,252.627,-183.8,6.127,-66.95,"3"
2.68750148175959,-2.2677504726957,0.268878558214956,-1.14086419470652,-0.72619370752423,-0.107825453937271,-0.436375817873585,0.394100240986741,0.0789532815930525,0.125413691810064,"P9_TeNT","Original","Tonic",0.425,14.15,40,49.5869,0.329275,-43.6115,314.416,-176.761,2.973,-75.02,"3"
-3.41819767898988,0.458782924207341,-1.64281493256519,0.351661108059344,0.385984387255586,-0.723766193775423,0.220375258530446,0.318589322451865,0.0741768871854001,0.0871710009470622,"P9_TeNT","Original","Tonic",0.1235,8.5,200,69.2966,0.244619,-47.835,581.904,-317.544,9.062,-68.32,"1"
-0.791565169251295,-1.91441058415249,0.472094487182901,-0.539437278809325,0.399269223393894,0.91452663639758,-0.00121475628904004,0.306558253416037,-0.0509916812297911,-0.193906731079554,"P9_TeNT","Original","Tonic",0.2643,15.47,80,64.7602,0.265055,-43.3299,600.675,-259.667,4.352,-69.64,"1"
0.20416522713013,-1.55809120328906,-1.61475588225291,-0.0758383696272562,0.219315226726444,0.152385792963027,0.133834037941697,0.198839872658443,0.227662720345254,-0.214049127536452,"P9_TeNT","Original","Tonic",0.2253,13.35,120,59.5669,0.312941,-47.8975,456.763,-204.918,4.219,-74.28,"1"
1.77586571524617,0.467322956113851,-2.70458962988328,-0.140942439993703,0.148383448058216,-0.411123656897296,-0.00436081151147114,0.00784043957261749,0.0915084100731867,0.142445026691841,"P9_TeNT","Original","Tonic",0.1925,9.58,160,45.7076,0.380201,-45.7076,235.421,-150.951,4.991,-75.6,"3"
-0.396691849200975,1.1820043611705,0.983738770391921,-0.472578201209885,0.199032927208587,0.585276403977904,0.112407758952347,-0.0922059298016791,0.100546567933417,-0.0595407131971832,"P9_TeNT","Original","Tonic",0.1985,10.54,100,55.8752,0.289833,-37.8237,424.696,-219.778,7.503,-64.72,"1"
-3.37583221935561,-0.489587592585453,-0.771064379094128,-0.309213068098323,-0.487112903974686,0.283569218528692,0.355367711177141,0.0759188699769661,-0.385339630753202,0.101332513823926,"P9_TeNT","Original","Tonic",0.1588,7.62,140,72.0497,0.236699,-46.302,653.077,-355.086,6.643,-67.68,"1"
-2.21023563720926,1.73363978748864,1.52317061140317,-0.124017631729483,-0.750981318917893,0.110117699863372,-0.224273118017146,0.16237472607222,-0.0741644112474246,0.0572674980649841,"P9_TeNT","Original","Tonic",0.197,6.8,100,63.853,0.259415,-37.9802,502.126,-304.248,10.634,-62.85,"1"
-0.390279481876948,2.76566180963025,1.21998844554157,0.895821965508954,-0.595512198759335,0.0865412667528458,0.0235130114324814,0.187067014728667,0.315557193499131,-0.0184415405109529,"P9_TeNT","Original","Tonic",0.1705,7.24,100,59.0663,0.348963,-37.1355,344.136,-195.532,11.64,-63.45,"1"
2.18837176564722,-1.40857358370562,-0.45810309356983,2.23932718619636,-0.530894826366991,0.50060710232326,0.143089377189191,-0.0538222450452465,-0.0866341518563124,-0.0435511093974355,"P9_TeNT","Original","Tonic",0.2455,15.71,50,64.2909,0.47535,-47.0528,303.466,-156.426,6.009,-73.37,"3"
-1.85978612803591,-0.695682123816922,-0.749262809215611,0.241382464068225,-0.527652150513183,0.178936403856341,-0.686706176544683,-0.494271170642702,0.0542414577353842,0.127700539205049,"P9_TeNT","Original","Tonic",0.165,10.71,110,68.8273,0.266517,-45.5512,466.148,-333.969,7.1,-71.36,"1"
1.22196381930468,-1.80424989213826,0.619945277584227,-0.0931947064083876,0.62320477211619,0.340807945808384,0.250300921324646,-0.410978671006813,-0.00911183877174136,0.195436482160386,"P9_TeNT","Original","Tonic",0.3058,17.68,70,58.8473,0.332138,-43.7992,366.818,-205.7,3.638,-69.03,"1"
