Cell_ID,ID,Firing_Pattern,Input_Resistance,Tau_Membrane,Threshold_Current,AP_Halfwidth,Max_DepolRate,Max_RepolRate,AP_Amplitude,Voltage_Threshold,RMP,Sag_90mV,Latency,Depol_Block,Spikes_200pA
11042024_S1C4,P4_iMNTB,Tonic,0.306,15.35,70,0.858686,197.878,-53.9669,42.6416,-39.2941,-75.34,3.23,11.7286,1,27
11122024_S1C3,P4_iMNTB,Tonic,0.219,11.58,120,0.841954,175.979,-53.1848,40.483,-39.8573,-73.24,6.435,8.40267,1,20
11122024_S2C1,P4_iMNTB,Phasic,0.1463,12.4,150,0.798204,225.253,-67.263,37.9176,-41.6405,-76.72,4.301,8.97755,0,2
11252024_S2C3,P4_iMNTB,Tonic,0.2903,9.57,90,0.583188,289.388,-100.895,54.7803,-45.864,-78.08,2.189,7.12778,0,26
12172024_S1C2,P4_iMNTB,Phasic,0.2323,13.86,100,0.568531,247.935,-97.7661,50.2439,-47.0841,-82.31,1.076,9.73133,0,1
12172024_S3C2,P4_iMNTB,Phasic,0.3105,10.1,120,0.440325,369.947,-136.872,59.5982,-45.2383,-77.44,2.922,5.58808,0,1
03032022_S1C2,P6_TeNT,Tonic,0.7025,26.01,40,0.497431,393.808,-113.801,60.966,-47.4952,-71.61,1.762,7.15803,1,44
03172022_S1C1,P6_TeNT,Tonic,0.1875,8.02,100,0.346472,381.679,-185.364,57.9088,-43.6115,-71.62,6.803,6.18239,2,44
03202022_S1C1,P6_TeNT,Tonic,0.2375,15.2,80,0.610606,294.08,-81.3413,48.711,-45.5512,-75.48,2.733,9.47108,0,24
03282022_S1C1,P6_TeNT,Tonic,0.3875,16.58,80,0.444349,320.673,-136.09,58.72222,-41.1712,-70.25,4.381,6.66937,2,40
06142022_S1C1,P6_TeNT,Tonic,0.3538,19.67,80,0.414156,443.467,-151.733,63.9155,-48.5545,-79.14,0.937,8.60776,0,36
06142022_S1C2,P6_TeNT,Tonic,0.5132,34.96,20,0.680373,187.711,-80.5592,46.6744,-39.2316,-69.27,3.738,14.8588,1,24
