"Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","ID","Type","Firing Pattern","Input Resistance","Tau Membrane","Threshold Current","AP Amplitude","AP Halfwidth","Voltage Threshold","Max DepolRate","Max RepolRate","Sag 90mV","RMP","Cluster"
0.356202830281869,0.586669123668511,-1.27823640715595,0.438208723274932,0.546231658700457,-0.258531565021094,-0.22435251929064,-0.291896575841059,0.0963140432051883,0.179180288493608,"P9_iMNTB","Original","Phasic",0.1643,7.11,220,55.7188,0.289953,-51.4953,375.422,-237.767,5.271,-73.18,"2"
2.37794261094116,0.812252721918869,0.045666697013644,1.13655368762155,0.863237765012623,0.167188825273981,0.223527329057076,0.0494515742527965,0.37276881532942,-0.0895711559958127,"P9_iMNTB","Original","Phasic",0.2175,8.34,200,51.2138,0.380257,-48.8361,270.616,-165.029,7.55,-71.24,"1"
0.458023860162033,0.923926167230484,0.367806822123762,0.486965044753211,0.371003299032647,-0.648645467152696,-0.296950907029234,0.0990680026328826,0.14428302602602,0.131440605043978,"P9_iMNTB","Original","Phasic",0.1963,7.28,160,56.3758,0.282267,-49.2428,364.472,-241.678,7.802,-71.23,"2"
0.946392882051491,-1.30622398131204,2.40834838332497,-0.677061884512461,1.18034060625979,-0.00407775361581691,0.534435955127199,0.305522672581973,0.0345657020226064,0.0735173535795797,"P9_iMNTB","Original","Phasic",0.3973,11.74,120,58.5345,0.284406,-46.9277,366.818,-255.756,7.842,-72.5,"2"
-0.799948674423062,2.92000814424407,0.326112834536002,0.381350955834493,-0.0741698181554481,0.409243900955763,-0.045272849683089,-0.215915488338955,-0.424566935250462,0.0723348806813897,"P9_iMNTB","Original","Phasic",0.1195,5.91,240,63.1021,0.25597,-45.207,437.992,-307.376,8.439,-67.19,"2"
3.29372549227459,1.09926407561549,-1.63853462526305,-0.653471645046915,-0.16124772452755,-0.578978984576752,0.370504412969668,-0.0240840028682244,0.0804082377568281,-0.246763355841154,"P9_iMNTB","Original","Phasic",0.187,5.6,220,39.388,0.349107,-44.55,223.689,-143.912,4.694,-76.1,"1"
0.648359535757521,0.911779362344247,-2.64117487918625,-1.2074576100848,0.705124047504735,0.456522705314644,-0.177546408682623,0.217861122299787,-0.264186745616519,-0.0436897709964424,"P9_iMNTB","Original","Phasic",0.1573,6.92,320,50.0249,0.261252,-48.492,330.84,-263.577,4.208,-77.3,"2"
-0.486685267691354,-3.18450025858773,0.941058893469331,-0.458267155741925,0.91365234357027,-0.0209596992470804,-0.333443298935945,-0.843939847728955,-0.151359136404836,-0.170348503374846,"P9_iMNTB","Original","Tonic",0.355,13.41,100,61.663,0.248439,-53.216,416.874,-337.097,3.135,-74,"2"
0.758521184321483,0.303652328000331,0.228687796171842,0.343637301680005,0.632718501454165,0.535559462268266,-0.401821212320326,0.400859996117841,-0.0642186016922411,0.0824437925830977,"P9_iMNTB","Original","Phasic",0.2083,9.92,200,58.5345,0.300471,-48.711,319.89,-252.627,7.41,-72.58,"2"
3.41745556919625,-0.808798139165672,0.858329692377962,-1.2514273255672,-1.54156983427268,0.104607326133871,-0.56971809685686,-0.0929833276390991,0.122799123088369,0.0982220415833259,"P9_iMNTB","Original","Phasic",0.2298,11.74,80,42.6416,0.319512,-40.045,236.203,-161.118,4.75,-75.91,"1"
-1.45473856658159,0.384090294597422,0.500062032942572,-0.601257348840368,-0.353046591381009,-0.475125340214648,1.05273894823344,-0.260924809303692,-0.0115209578043085,0.17617772226209,"P9_iMNTB","Original","Tonic",0.2455,6.55,160,66.0116,0.238625,-46.4271,575.646,-336.315,5.814,-72.2,"2"
-3.75946882381258,1.52949287965453,-1.20325868012994,-0.622747834692938,-0.201397226608665,0.764755579122969,0.267140142035813,-0.230617572036072,0.308240975024659,-0.00173295462162532,"P9_iMNTB","Original","Phasic",0.111,6.5,280,70.329,0.18994,-49.3054,712.519,-453.634,5.744,-72.22,"2"
0.0256581120682101,1.53948069301198,1.75694850752896,-0.785296017066003,-0.265434304333442,0.138767886211584,-0.183765446539121,0.181928770682035,0.0423348354977959,0.0243936973305,"P9_iMNTB","Original","Phasic",0.2168,8.64,160,56.5948,0.24219,-42.5478,429.388,-297.209,9.076,-69.71,"2"
-2.59795084128103,1.10183397550702,-0.0414868471320186,0.255658400865688,-0.390977050090831,-0.693938975348007,-0.283486421486294,0.146903306864422,0.378640263739377,-0.144761032007561,"P9_iMNTB","Original","Phasic",0.1345,6.06,160,66.5435,0.214201,-50.6819,585.814,-402.014,7.442,-71.68,"2"
-0.288087331971197,2.09166835863184,1.63148334336309,0.877820507293387,-0.557072366960943,-0.202194127358403,0.0546153283674677,0.041941675071667,-0.520695112157849,-0.195464682474974,"P9_iMNTB","Original","Phasic",0.1665,6.54,140,65.0731,0.283002,-44.4875,387.154,-308.941,9.139,-66.88,"2"
-1.05979669027139,-0.929034713955091,-0.714308427529913,0.737942253520195,-0.118154676825175,-0.383013883690468,-0.567501935226614,-0.176761274502805,-0.017661494243795,0.128691082475952,"P9_iMNTB","Original","Phasic",0.1698,8.97,140,65.6362,0.262188,-53.5601,440.338,-320.673,4.442,-74.27,"2"
2.31037187866267,-2.11070375603366,-0.695371572274105,1.47741731023655,-0.937655966228106,0.732978923115507,0.527227610145636,-0.154306693658494,0.0438214892256537,0.0245056904219218,"P9_iMNTB","Original","Phasic",0.208,11.49,115,61.5379,0.42259,-48.8674,294.08,-189.275,2.557,-76.42,"1"
