Dim.1,Dim.2,ID,Type,Firing Pattern,Cluster,Cell_ID,Input_Resistance,Tau_Membrane,Threshold_Current,AP_Halfwidth,Max_DepolRate,Max_RepolRate,AP_Amplitude,Voltage_Threshold,RMP,Sag_90mV
1.816555719,0.591654854,P6_TeNT,Projected1,Tonic,3,03012024_S1C1,0.1575,11.2,120,0.452687,331.186,-113.263,52.6957,-45.0551,-73.75,6.913
2.252560241,1.97326175,P6_TeNT,Projected1,Tonic,3,03132024_S2C1,0.1863,8.96,80,0.402125,233.765,-111.019,40.9988,-40.1545,-70.03,8.86
1.048517657,-0.358417889,P6_TeNT,Projected1,Tonic,1,03142024_S2C1,0.2448,18.67,60,0.418452,472.221,-157.147,63.6404,-39.185,-64.67,6.891
3.919053084,-0.470546891,P4_TeNT,Projected2,Tonic,3,12122022_S1C1,0.3925,10.98,40,0.648458,271.399,-96.2018,59.5982,-46.5523,-66.67,5.885
6.758154581,-0.849495325,P4_TeNT,Projected2,Tonic,2,12292022_S2C1,0.4778,16.18,20,0.762477,124.358,-75.8665,43.7366,-44.2685,-71.43,5.358
6.841290335,1.507479337,P4_TeNT,Projected2,Tonic,2,12272023_S1C1,0.4883,20.97,30,0.822825,111.062,-62.5703,39.7008,-35.0081,-61.56,10.267
8.757325468,-1.42964834,P4_TeNT,Projected2,Tonic,2,12272023_S1C3,0.567,21.37,20,0.980918,140.818,-47.5152,40.7735,-45.8785,-72.24,6.002
6.934911906,-4.080479352,P4_TeNT,Projected2,Tonic,2,12272023_S2C1,0.6585,21.64,30,0.630458,202.571,-91.509,47.8975,-45.0193,-77.62,0.185
5.709166202,-3.436083228,P4_TeNT,Projected2,Tonic,2,01012024_S1C2,0.6273,25,30,0.612112,267.488,-90.7269,56.0942,-43.5489,-70.12,3.104
6.853155903,-0.294114817,P4_TeNT,Projected2,Tonic,2,01012024_S2C2,0.5028,25.54,20,0.845012,183.8,-62.5703,48.7735,-38.95,-65.26,9.343
5.642205391,0.925425442,P4_TeNT,Projected2,Tonic,3,01012024_S2C3,0.4145,13.96,40,0.844223,163.465,-67.263,54.8116,-43.6428,-64.54,9.569
5.710561172,-0.103022949,P4_TeNT,Projected2,Tonic,2,01212024_S1C1,0.3895,23.71,20,0.799131,205.7,-69.6094,56.9702,-39.169,-60.14,6.658
8.74047304,-2.678395869,P4_TeNT,Projected2,Tonic,2,01212024_S1C3,0.6148,32.13,20,0.916378,146.258,-64.9166,48.273,-39.0751,-66.11,2.15
8.156001352,-0.804664938,P4_TeNT,Projected2,Tonic,2,01212024_S2C1,0.6563,29.47,20,0.877169,141.565,-61.7881,43.3612,-35.2583,-64.2,8.365
5.241837837,-1.814572091,P4_TeNT,Projected2,Tonic,2,01212024_S2C3,0.4325,18.65,35,0.621975,249.499,-84.4699,52.5903,-43.2986,-73.12,3.736
3.587914103,0.087120059,P4_TeNT,Projected2,Tonic,3,01212024_S2C5,0.3925,15.21,60,0.559896,295.645,-99.3303,57.0641,-38.6684,-68.56,7.479
7.030849788,-1.503888832,P4_TeNT,Projected2,Tonic,2,04092024_S1C1,0.4415,17.71,20,0.877256,187.66,-58.6085,50.5611,-48.0135,-69.53,3.588
3.319789375,2.301460491,P4_TeNT,Projected2,Phasic,3,11042024_S1C1,0.162,9.92,180,0.645179,220.56,-82.1235,48.6797,-42.0159,-73.36,7.81
4.511595711,4.29264233,P4_TeNT,Projected2,Tonic,3,11042024_S1C3,0.2838,13.9,90,0.825159,257.32,-68.8273,51.245,-29.189,-61.26,13.7
7.510773267,0.991511377,P4_TeNT,Projected2,Tonic,2,11122024_S1C1,0.316,17.33,50,1.05795,168.94,-44.5813,44.2059,-46.0517,-69.55,9.033
3.535378136,1.196730867,P4_TeNT,Projected2,Tonic,3,11122024_S2C2,0.3043,11.52,90,0.567239,223.689,-100.112,51.4328,-38.293,-64.94,5.094
4.054142595,-0.269684031,P4_TeNT,Projected2,Tonic,3,11252024_S1C1,0.2918,16.64,50,0.572302,265.141,-89.9448,53.216,-40.483,-71.98,5.842
6.111291397,-0.362881235,P4_TeNT,Projected2,Tonic,2,11252024_S2C1,0.4358,15.52,70,0.688335,168.158,-71.9558,43.5489,-40.045,-73.84,4.205
5.472785718,-2.915584463,P4_TeNT,Projected2,Tonic,2,12172024_S2C1,0.5258,20.67,40,0.667837,236.985,-83.6877,58.0965,-48.8361,-73.21,4.478
