P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
50,10,25,25,30,70,65,60,65,55
5,70,15,30,60,115,55,95,55,90
5,,20,55,30,45,70,80,115,65
30,,40,15,30,90,105,105,105,45
,,50,25,40,75,50,,90,45
,,80,,100,95,55,,140,115
,,75,,70,,75,,,100
,,,,110,,85,,,
,,,,85,,95,,,
,,,,35,,,,,
,,,,85,,,,,
,,,,30,,,,,
