"PC1","PC2","PC3","ID","Type","Firing Pattern","Cell ID"
15.3440804436968,-5.54509538610151,2.30826271727946,"P0_NonInjected","Projected8","Tonic","01102021_S1C2"
25.9602893664136,-4.0384159281754,1.1723867849731,"P0_NonInjected","Projected8","Phasic","01102021_S2C2"
21.8566040628842,-5.46001325216273,1.90379560088868,"P0_NonInjected","Projected8","Phasic","04262022_S1C1"
18.1096789664412,-9.38800794738482,4.4344269247838,"P0_NonInjected","Projected8","Tonic","05072022_S1C1"
17.7778367940437,-1.38188262817694,2.55094785834799,"P0_NonInjected","Projected8","Phasic","05072022_S2C1"
16.5736798530169,-7.7569527360637,3.987614928332,"P0_NonInjected","Projected8","Tonic","07212022_S1C1"
16.2152873778548,-4.86810077090935,3.89555110119353,"P0_NonInjected","Projected8","Phasic","07222022_S2C1"
17.9514223139577,-8.00392550039438,5.1359239816417,"P0_NonInjected","Projected8","Phasic","09052022_S1C1"
20.8677249121531,-7.24288835054028,5.8624898664322,"P0_NonInjected","Projected8","Phasic","09052022_S2C1"
14.3437155103264,-1.42010455633658,0.623503008081449,"P1_NonInjected","Projected9","Phasic","04032022_S1C1"
15.4026411378534,-3.52732330317499,3.22375151186891,"P1_NonInjected","Projected9","Tonic","04272022_S1C1"
20.002713736199,-5.61341441345763,4.54608673929694,"P1_NonInjected","Projected9","Phasic","04272022_S1C3"
14.1066691919559,-4.03342875592905,1.50642902844901,"P1_NonInjected","Projected9","Tonic","05202022_S1C1"
15.6980383956954,-4.27860353113865,3.57875564744424,"P1_NonInjected","Projected9","Tonic","05202022_S2C1"
11.2090155059124,-4.61395774935072,2.05566453294132,"P1_NonInjected","Projected9","Tonic","08252022_S1C1"
19.8618252839845,-2.86084532561352,0.805752621637351,"P1_NonInjected","Projected9","Tonic","08252022_Evening_S1C2"
13.7177461898601,0.478928192686048,-0.207570229009338,"P1_NonInjected","Projected9","Tonic","08252022_Evening_S2C1"
19.6063451726766,-5.36998217933049,1.35358595459184,"P1_NonInjected","Projected9","Phasic","10052022_S1C1"
11.5930915806103,-1.34097975324324,4.54414682507254,"P1_NonInjected","Projected9","Tonic","11022022_S1C1"
10.8530003072948,-1.34963682734186,-0.375890041402521,"P1_NonInjected","Projected9","Tonic","11022022_S2C1"
15.1276731900792,-2.70954599074354,2.36957522418714,"P2_NonInjected","Projected10","Tonic","05302025_S1C2"
9.12565531080809,-3.31657663080386,3.3089210208032,"P2_NonInjected","Projected10","Tonic","05302025_S2C2"
13.4043548670595,-1.62426573892623,0.847245939169375,"P2_NonInjected","Projected10","Tonic","07162025_S1C2"
10.4466714626369,-1.24393415581813,-0.606166682031262,"P2_NonInjected","Projected10","Tonic","07162025_S1C3"
8.16072706207848,-2.55637218135468,-0.232434437133067,"P2_NonInjected","Projected10","Tonic","08052025_S1C2"
12.1149000783247,-1.80030897841576,3.74335223948964,"P2_NonInjected","Projected10","Tonic","08052025_S1C4"
13.4520924602768,1.59429317208141,3.77441852199823,"P2_NonInjected","Projected10","Tonic","07012022_S1C1"
15.7750934601954,-1.65342172758351,1.96996975640751,"P2_NonInjected","Projected10","Tonic","08262022_S1C1"
15.9744670945915,-6.67767029059697,5.47159872204156,"P2_NonInjected","Projected10","Tonic","11032022_S1C1"
15.0635079519201,-1.19533325602097,0.654758478397675,"P2_NonInjected","Projected10","Tonic","11032022_S2C1"
13.6514742911669,-6.90922319378215,4.25196923646965,"P2_TeNT","Projected4","Tonic","12072022_S1C1"
11.1254404148182,-5.24871165370401,2.92541891605287,"P2_TeNT","Projected4","Tonic","02222022_S1C4"
13.1302509177541,-3.68529030449942,6.02341867470032,"P2_TeNT","Projected4","Tonic","05032022_S1C1"
12.3376515448757,-6.85133581539822,3.34499733510027,"P2_TeNT","Projected4","Tonic","05092022_S1C2"
13.0911971460534,-3.10604318177394,4.10118143175025,"P2_TeNT","Projected4","Tonic","05092022_Evening_S1C2"
14.1747540116755,-6.82436275600811,3.13383471644631,"P2_TeNT","Projected4","Tonic","06032022_S2C1"
15.8472504461029,-4.70171296136111,5.09987888410254,"P2_TeNT","Projected4","Tonic","05302025_S1C1"
7.81974499403284,-0.386677019092502,0.444074866188079,"P2_iMNTB","Projected7","Tonic","05302025_S1C3"
9.61655754511374,-2.70441279894019,0.900597308408909,"P2_iMNTB","Projected7","Tonic","05302025_S2C1"
7.17183639408227,-1.29891931276033,1.11414077928853,"P2_iMNTB","Projected7","Tonic","07162025_S1C1"
7.34677913118371,-0.831785887149833,0.650545836480706,"P2_iMNTB","Projected7","Tonic","07162025_S2C2"
11.6433783262153,-4.61162002335907,0.689500126867539,"P2_iMNTB","Projected7","Tonic","08052025_S1C1"
16.5956105972145,-6.03625269895615,2.13852257662037,"P2_iMNTB","Projected7","Tonic","08052025_S1C3"
7.55298860865634,1.69119684415561,-0.50313796486672,"P3_NonInjected","Projected11","Tonic","05042022_S2C1"
9.48403860162484,0.471107188722466,-0.753340994280768,"P3_NonInjected","Projected11","Phasic","05242022_S1C2"
7.36470305815631,-0.849494401645366,0.20808134614871,"P3_NonInjected","Projected11","Tonic","05242022_S2C1"
6.86962759566861,-0.789654369121892,-2.65184838599314,"P3_NonInjected","Projected11","Phasic","06132022_S1C1"
12.3718446116881,-3.22571865472405,-0.819757482765143,"P3_NonInjected","Projected11","Tonic","08302022_S1C1"
6.33934904821132,0.778314296170697,-0.336604943235686,"P3_NonInjected","Projected11","Tonic","08302022_S2C1"
13.5708487865445,-5.93045449558199,2.53435659714194,"P3_NonInjected","Projected11","Tonic","09092022_S1C1"
