P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
-2,14,14,2,5,0,18,33,27,-4
-20,9,-25,12,0,0,-12,44,2,-4
0,,2,10,11,0,6,-10,47,-3
0,,8,10,-80,10,12,12,20,27
,,11,21,-11,20.59,7,,13,30
,,10,,6,19.87,14,,34,53
,,22,,14,,23,,,44
,,,,16,,20,,,
,,,,12,,19,,,
,,,,3,,,,,
,,,,16,,,,,
,,,,16,,,,,
