P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
-3,-3,-4,-20,-3,-8,-6,8,-2,-5
-3,-3,-17,-2,-1,<-2,-3,-2,-7,-6
0,,-4,-2,-5,-4,-5,-3,-4,-7
-2,,-6,-7,-20,-8,-5,-4,-20,-3
,,-3,-5,-5,-2,-7,,-5,-3
,,-5,,-5,5,-2,,-4,-3
,,-5,,-5,,-8,,,-2
,,,,-2,,-3,,,
,,,,-3,,-5,,,
,,,,-5,,,,,
,,,,-5,,,,,
,,,,-5,,,,,
