Rp,Rs,Cp,Seal (G?),Leak Before pA,Leak After pA,V membrane,Rinput SAG 1st,Rinput SS 1st,Rinput Ratio,Rinput -5 to +5mV,Rinput SS by 0pA,Tau Membrane -10pA,Sag Peak (-80pA),SS (-80pA),Sag Ratio,Sag (?mV) (-80pA),Sag (?mV) (-95mV),Sag (-100mV),Sag Proportion,?mV,Rheobase pA,AP Threshold (20V.s-1),AP Amplitude (from threshold),HW (ms),Latency (ms),fAHP (Thr-AHP peak),Max rate of rise,dVdt,RMP 1st sweep,dV''dt,dV'''dt,Age
3.55,12.8,21.54,>14,-1,0,-77.7017,0.4599,0.1436,0.312241792,0.69101,0.5861,23.29,-122.008,-98.1246,0.804247262,23.8834,5.089,7.6221,0.195752738,44.3063,60,-48.784,60.106,1.424,16.511,14.988,124.26,20.7755,-77.6236,-45.392,-45.8647,4
3.79,6.81,21.82,>6,-5,11,-73.4307,0.8258,0.15392,0.186388956,1.09136,1.16519,35.2485,-144.927,-102.762,0.709060424,42.165,0.9107,4.4918,0.290939576,69.9976,30,-45.071,52.562,2.408,28.732,19.588,70.528,14.1383,-74.9294,-39.416,-45.8107,4
4.4,11,22.52,>1,-20,-80,-61.9031,0.43011,0.2247,0.522424496,0.30654,0.3719,8.4,-96.8221,-88.1878,0.910823046,8.6343,7.122,8.6343,0.089176954,35.0282,30,-47.414,49.087,1.312,9.825,18.236,103.57,15.6926,-61.7939,-44.295,-47.5822,4
3.8,6.6,20.55,2,-5,-11,-65.8033,0.38838,0.28093,0.723337968,0.26034,0.27275,9.05,-94.2902,-92.421,0.980176095,1.8692,1.8692,1.8692,0.019823905,28.6471,40,-49.45,57.9,1.35,13.6,17.74,143.13,12.4595,-65.6431,-45.953,-49.7678,4
3.6,9.4,24.76,5,-5,6,-74.7544,0.64212,0.17949,0.279527191,0.37235,0.45745,13.85,-112.0227,-95.7415,0.8546616,16.2812,5.4468,8.0139,0.1453384,36.3497,100,-44.972,59.098,1.1,12.184,13.408,174.12,13.6905,-75.673,-40.951,-45.4268,4
3.8,7,21.74,3,-5,14,-74.323,0.69926,0.35282,0.504561966,0.58127,0.58993,17.08,-119.777,-107.1425,0.894516476,12.6345,2.0016,2.6911,0.105483524,44.8267,70,-49.49,62.013,1.02,13.808,17.75,152.65,9.00421,-74.9503,-45.331,-50.0508,4
3.6,12,27.31,8,-2,16,-74.1589,0.79083,0.2607,0.329653655,0.34674,0.413,20.6,-113.965,-97.0405,0.85149388,16.9245,5.6358,8.1354,0.14850612,38.9114,110,-44.258,60.084,1.08,12.347,16.002,186.08,15.261,-75.0536,-39.669,-44.6577,4
3.8,9,26.88,3,-3,12,-72.361,0.64964,0.20268,0.311988178,0.39759,0.34123,16.89,-109.3177,-89.9907,0.823203379,19.327,9.8883,12.999,0.176796621,36.3214,85,-42.55,54.72,1.24,17,19.11,150.4,13.2056,-72.9963,-37.423,-42.8441,4
3.7,5.6,18.11,>15,-5,3,-75.093,1.1598,0.29719,0.256242456,0.71305,0.85849,27.64,-143.429,-114.322,0.797063355,29.107,-1.5534,0.0552,0.202936645,67.8069,35,-50.455,63.98,1.394,21.406,16.876,141.66,20.384,-75.6221,-44.635,-50.2693,4
3.7,6.1,17.12,10,-5,16,-77.0336,0.8494,0.29713,0.349811632,0.54208,0.60485,20.18,-129.389,-100.4033,0.775980184,28.9857,4.7413,9.2433,0.224019816,51.4596,85,-49.3539,69.8186,0.848,8.3274,19.6591,228.276,21.6593,-77.9294,-40.877,-49.35,4
3.6,8.2,22.87,10,-5,16,-75.7714,0.9259,0.23392,0.252640674,0.8919,0.73491,34.85,-131.479,-101.778,0.774100807,29.701,4.5039,6.805,0.225899193,53.3647,30,-46.8652,57.7806,1.25,34.809,19.8788,154.725,18.8915,-78.1143,-40.982,-46.87,4
5.5,14.06,18.4,>3,-8,0,-75.8412,0.25927,0.29195,1.126046207,0.21223,0.30786,17.26,-101.6338,-89.38,0.879431843,12.2538,8.4018,10.8566,0.120568157,25.7926,70,-44.074,52.47,0.504,12.02,14.036,366.95,13.3024,-75.8108,-42.793,-47.6501,5
2.3,6,25,>4,<-2,0,-69.0749,0.27813,0.19602,0.704778341,0.07585,0.10207,12.628,-84.5258,-79.6468,0.942277979,4.879,4.879,4.879,0.057722021,15.4509,115,-41.551,48.103,0.544,10.76,16.359,177.81,17.6964,-68.1896,-36.774,-42.0021,5
3.9,8.8,20.75,>5,-4,0,-78.0057,0.30172,0.10807,0.358179769,0.19794,0.12637,11.502,-98.1849,-85.5614,0.87143135,12.6235,10.687,12.6235,0.12856865,20.1792,45,-48.433,65.123,0.384,20.6,15.042,310.03,16.3721,-75.3153,-42.812,-48.8252,5
3.4,6.1,18.65,>5,-8,10,-77.0786,0.6462,0.36303,0.561792015,0.45863,0.4863,19.67,-120.882,-103.4675,0.855938022,17.4145,4.3801,5.6652,0.144061978,43.7823,90,-51.75,64.118,1.04,9.32,30.89,138.56,15.9835,-77.0997,-48.337,-52.4049,5
