P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
<20,-,16.3,8,10.2,14.06,9.7,8.4,13.2,6.6
15,11,14.2,12.2,12.8,6,9,6,8.2,6.6
0,,10.7,15.6,6.81,8.8,11,10.8,8.3,4.8
12.1,,20.4,15.3,11,6.1,7.5,8.4,8.2,13.1
,,6.9,12.1,6.6,6.776,5.8,,7.2,6.7
,,7.7,,9.4,5.779,6.7,,11.2,10.3
,,6.9,,7,,5.2,,,10.9
,,,,12,,9.4,,,
,,,,9,,9,,,
,,,,5.6,,,,,
,,,,6.1,,,,,
,,,,8.2,,,,,
