P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
3.5,3.5,3.5,3.5,2.61,5.5,3.8,3.25,3.8,2.58
3.5,3.6,3.5,4.3,3.55,2.3,3.3,3.4,3.8,3.2
0,,3.25,5,3.79,3.9,2.5,4.44,3.6,3.2
3.6,,3.3,3.6,4.4,3.4,4.5,3.3,3.8,3.7
,,3.3,3.7,3.8,3,2.6,,4.2,3.89
,,3.3,,3.6,3.06,2.8,,4.2,4.2
,,4.2,,3.8,,2.4,,,4
,,,,3.6,,3.6,,,
,,,,3.8,,3.6,,,
,,,,3.7,,,,,
,,,,3.7,,,,,
,,,,3.6,,,,,
