P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
24.44,31.17,27.57,14.36,20.63,18.4,20.75,17,16.93,13
22.03,32.5,14.68,11.85,21.54,25,19.81,17.58,14.7,17.06
20.46965437,,20.51,22.88,21.82,20.75,18.91,17.62,16.65,14.24
19.78,,30.12,26.28,22.52,18.65,19.22,16.89,14.9,17.76
,,14.66,29.34,20.55,20.59,17.92,,20.01,12
,,26.7,,24.76,19.87,18.63,,18.24,18.87
,,27.3,,21.74,,15.03,,,14.33
,,,,27.31,,16.7,,,
,,,,26.88,,20.87,,,
,,,,18.11,,,,,
,,,,17.12,,,,,
,,,,22.87,,,,,
