P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
>10,>10,> 10,>3,>10.6,>3,>5.5,>2,5,>10
>10,10,>2,>10,>14,>4,>10,>7,5,>10
0,,>10,>10,>6,>5,6,>15,5,>5
13,,>10,10,>1,>5,8,>3,5,>5
,,>20,10,2,10,5,,10,>5
,,>5,,5,-3,8,,10,13
,,10,,3,,5,,,13
,,,,8,,5,,,
,,,,3,,5,,,
,,,,>15,,,,,
,,,,10,,,,,
,,,,10,,,,,
