P0,P1,P2,P3,P4,P5,P6,P7,P8,P9
29.06,163,47.528,36.08,32,12.02,13.48,10.67,11.205,10.829
113.07,26.705,22.455,39.5,16.511,10.76,6.1551,12.759,7.84,9.1882
112.76,,23.957,21.387,28.732,20.6,9.06,10.643,7.77,12.614
26.787,,35.2,98.282,9.825,9.32,8.9,7.6754,8.954,16.401
,,12.727,71.295,13.6,11.087,15.443,,8.29,14.55
,,19.32,,12.184,12.576,11.837,,7.902,12.19
,,20.68,,13.808,,11.837,,,9.84
,,,,12.347,,9.1722,,,
,,,,17,,9.2209,,,
,,,,21.406,,,,,
,,,,8.3274,,,,,
,,,,34.809,,,,,
