Dim.1,Dim.2,Dim.3,ID,Firing Pattern,Cell ID
7.52744337,-3.079922857,2.181170485,P4_TeNT,Tonic,11252024_S2C1
6.032796258,-5.570914444,3.197232934,P4_TeNT,Tonic,12172024_S2C1
-0.059053241,2.698160007,-0.041306213,P6_iMNTB,Phasic,03172022_S2C2
2.17236995,1.493585229,-0.194102523,P6_iMNTB,Phasic,03172022_S2C4
4.17904228,0.914391744,-2.259396472,P6_iMNTB,Phasic,03202022_S1C3
2.20504589,-1.510928656,0.892587663,P6_iMNTB,Phasic,03282022_S1C2
4.674256444,-0.676164574,0.828960156,P6_iMNTB,Phasic,03282022_S1C3
3.198982505,0.435986505,-1.188908474,P6_iMNTB,Phasic,03282022_S1C4
2.349309176,-0.678000381,-2.851652402,P6_iMNTB,Phasic,03282022__Evening_S2C1
4.231220065,-0.05875935,-1.526616238,P6_iMNTB,Phasic,03282022__Evening_S2C2
0.821481996,1.171091503,-0.365976884,P6_iMNTB,Phasic,06142022_S2C2
2.527005382,-1.263031477,-0.171727906,P6_iMNTB,Phasic,06142022_S2C3
4.120645921,-1.072778662,0.29822767,P6_iMNTB,Phasic,06142022_S2C4
3.111601311,0.480967387,-1.722332967,P6_iMNTB,Phasic,10122022_S1C2
3.584354173,-0.842238385,0.335493717,P6_iMNTB,Phasic,10122022_S2C1
2.010501795,-0.454951889,1.068812735,P6_iMNTB,Tonic,10122022_S3C2
-1.817140472,-1.49552509,0.874585449,P6_iMNTB,Tonic,10122022_S3C3
2.953144276,3.628720621,0.157334677,P6_iMNTB,Phasic,12312022_S1C2
1.632599933,0.426605026,0.71617592,P6_iMNTB,Tonic,12312022_S1C4
4.874567631,1.630379938,1.137613719,P6_iMNTB,Phasic,12312022_S2C2
6.029211571,-2.935135614,1.398765074,P6_iMNTB,Phasic,12292023_S1C2
3.026769597,2.740312353,-0.68264128,P6_iMNTB,Phasic,03142024_S2C2
4.935886393,0.182220137,-0.238385255,P4_iMNTB,Tonic,12122022_S1C2
7.640496746,-3.685739135,4.36202067,P4_iMNTB,Tonic,12292022_S1C1
4.292021718,-1.087071401,-0.033357027,P4_iMNTB,Tonic,12292022_S1C2
4.863271331,-2.110777508,-1.159079524,P4_iMNTB,Tonic,02012023_S1C1
3.475313818,-0.083857181,0.661501492,P4_iMNTB,Tonic,02012023_S1C2
6.854281991,-2.065333735,0.456274555,P4_iMNTB,Tonic,12272023_S1C4
5.543204657,-1.017520767,-0.505524841,P4_iMNTB,Tonic,12272023_S2C2
6.374850932,-1.528820497,4.711455163,P4_iMNTB,Tonic,12272023_S3C2
5.911826663,0.240055943,-1.54434148,P4_iMNTB,Phasic,01012024_S1C4
4.876690812,2.896432796,3.067233759,P4_iMNTB,Tonic,01162024_S1C2
3.660954287,-1.76981522,-2.655558626,P4_iMNTB,Phasic,01212024_S1C2
5.685212802,1.053241053,-0.210340276,P4_iMNTB,Phasic,01212024_S2C2
5.515383619,-0.335050976,-0.919259919,P4_iMNTB,Tonic,04092024_S1C2
7.529860161,-0.134119447,1.17400184,P4_iMNTB,Phasic,11042024_S1C2
8.821873255,-2.849038334,0.82140573,P4_iMNTB,Tonic,11042024_S1C4
8.465083136,-0.440747323,0.415192322,P4_iMNTB,Tonic,11122024_S1C3
7.842526248,-0.901799814,-1.138833641,P4_iMNTB,Phasic,11122024_S2C1
4.784498389,-2.407981121,-0.664934991,P4_iMNTB,Tonic,11252024_S2C3
5.143131546,-3.609126098,-1.500806371,P4_iMNTB,Phasic,12172024_S1C2
2.919358921,-2.068838093,-0.128819791,P4_iMNTB,Phasic,12172024_S3C2
13.44233046,-4.066559356,1.911898952,P1_NonInjected,Phasic,04032022_S1C1
12.04046698,-4.907764701,2.80657051,P1_NonInjected,Tonic,04272022_S1C1
17.84932384,-9.069125291,6.507738048,P1_NonInjected,Phasic,04272022_S1C3
11.64156885,-5.835113944,1.829171529,P1_NonInjected,Tonic,05202022_S1C1
